"b'Charrette Blanc'","u"
"b'Calico Jack Spiced'","A"
"b'Mauritius Club Dark'","u"
"b'El Dorado 25-Year 1980 Vintage'","y"
"b'Stroh 60'","s"
"b'Flor de Cana Anejo Oro 4-Year'","c"
"b'Dillon Tres Vieux'","r"
"b'Arehucas Golden'","a"
"b'Saint James Cuvee 1765'","r"
"b'Taylors Velvet Falernum'","r"
