;label;sugar
361;Jack Tar Rum;0
362;Jefferson's 1785 Extra Fine Dark Rum;0
363;Jefferson's 24 Year Old Demerara Rum;0
364;John Milroy, Finest Jamaican Rum 26y Rare old rum;0
366;Juuls Flying No.11 Jamaica 30y;0
367;Juuls Ping No.9 Jamaica 1977 36y;0
368;Juuls Ping No.9 Jamaica 1977 36y;0
369;Kaniche Rum (not XO);15
370;Kaniche XO;24
371;Karukera Double Maturation 2004/2012 (44,1%);0
372;Karukera Gold;0
373;Karukera Silver;0
374;Kirk & Sweeney 40% (vanilla bomb), 2/3 full;4
375;Kobra Libre;0
377;Kraken Spiced;26
379;La Confrerie du Rhum - Cuve 1 Barbados;0
380;La Confrerie du Rhum - Cuve 2 Guadeloupe;0
381;La Favorite (rhum) 20 yr;49
382;La Favorite (rhum) 30 & 35 yr;45
384;La Favorite Coeur de Rhum;33
383;La Favorite coeur de rhum;0
385;La Favorite Cuve dexception Privilge;45
388;La Favorite Cuve du Chateau 2000;5
391;La Favorite Cuve Spciale des Cavistes;49
386;La Favorite cuvee des Cavistes;49
387;La Favorite cuvee du chateau 2000;0
389;La Favorite cuvee Filibuste;10
390;La Favorite cuvee Privilege;45
392;La Hechicera;0
393;La Hechicere;0
394;La Mauny 1994;0
395;La Mauny Blanc circa 70's 50% ;0
396;La Mauny Extra Rubis;6
397;La Mauny Extra Saphir;5
398;La Mauny Vieux 1995;4
399;La Mauny VO;0
400;La Mauny XO;0
401;Lalvaromni Alpo;0
402;Lamb's Navy Rum;4
403;Lemon Hart 151 (Mosaiq);10
404;Lemon Hart Demerara;17
405;Long Pond 1993 18yr;0
407;Lost Spirits Navy Style;4
406;Lost Spirits Navy Style Rum;8
408;Lundu Silver;6
600;Maestro Botero Reserva Especial;0
409;Malibu Coconut;20
410;Mambacho 15 yr;0
411;Marks & Spencer Gingerbread;24
412;Matugga Golden Rum;37
413;Matugga Spiced Rum;47
415;Matusalem 15;5
414;Matusalem 15 Year Old Solera Blender;0
601;Matusalem Gran Reserva 15 yr;3
602;Matusalem Gran Reserva 15 yr;5
603;Matusalem Gran Reserva 18 yr;6
604;Matusalem Gran Reserva Solera  15;5
416;Matusalem Platino;5
417;Matusalem Solera 7;3
418;Medela Organic;9
605;Medellin 8y;0
419;Mekhong Thai Spirit;13
420;Mekhong Thai Spirit;15
421;Mezan Guyana Uitvluigt;0
422;Mezan Jamaica 2003;0
423;Mezan Jamaica XO;0
424;Mezan Panama 1995;0
425;Mezan Panama 1999;0
426;Mezan Trinidad 1999 (Caroni);0
606;Millonario Solera 15 yr;42
607;Millonario XO;4
427;Montanya Platino;10
428;Montecristo 12y;14
429;Moon Import Enmore (EHP) 94/2001, 46 sherry port;0
430;Mount Gay 1703;0
431;Mount Gay Black Barrel;0
433;Mount Gay Eclipse;0
432;Mount Gay Eclipse (Gold);0
434;Mount Gay Extra Old;0
435;Mount Gilboa;0
436;Negrita Dark;3
438;Noble Selected;22
439;Noordbo Handelen - Fiji 2003;0
440;Ocean's 7 Mellow;23
441;Ocean's Atlantic Edition;12
442;Ocumare;7
443;Old Brigand Barbados (Seale);0
444;Old Jamaica 1982;0
445;Old Monk Supreme;3
446;Old Nick Caribbean White;0
447;Old Pascas Dark;0
448;Old Port Rum;0
449;Old Salt Rum;16
450;Old Salt Rum;6
451;Olokan;6
452;Opthimus 15 OportO;29
454;Opthimus 25;35
453;Opthimus 25 Malt Whisky (Tomatin);34
455;Origenes 18;0
456;Origenes 25 Malt Whisky finish (Tomatin);34
457;Our Rum & Spirits - Barbados WIRD 14y;0
458;Our Rum & Spirits - Guyana Enmore/Versailles;0
459;Pampero Anejo Especial;0
608;Pampero Anejo Seleccion 1938;12
460;Pampero Aniversario Exclusiva;12
609;Pampero Anniversary;16
610;Pampero Blanco;0
461;Papa's Pilar 24 Dark Rum;14
462;Paulsen Collection;0
463;Penny Blue Cask #28;4
464;Penny Blue XO (4th batch);0
465;Phraya;0
466;Pia Colada Forever;23
467;Pina Colada Gran Bavero;21
468;Plantation 20th Anniversary;29
471;Plantation 3 Stars;12
470;Plantation 3 Stars Silver;13
472;Plantation Barbados 15 yr Single Cask Sherry;17
473;Plantation Barbados Grand Reserve;22
474;Plantation Barbados Grande Reserve (new);20
475;Plantation Belize 7 Single Cask;20
476;Plantation Cuba 1998 Single Cask;18
477;Plantation Dark (Trinidad & Tobago);12
478;Plantation Gran Reserve Barbados;22
479;Plantation Grenada 1996 Single Cask;24
480;Plantation Grenada 1998 Old Reserve;20
481;Plantation Grenada 2002;18
482;Plantation Grenada 2003 Old Reserve;16
483;Plantation Guadeloupe 1998 Single Cask Sauterne;18
484;Plantation Guatemala Gran Anejo;17
485;Plantation Guatemala Gran Anejo;20
486;Plantation Guatemala XO Single Cask Denmark;19
487;Plantation Guyana 1988 Single Cask;16
488;Plantation Guyana 2005 Old Reserve;19
489;Plantation Jamaica - Guyana 1991 Single Cask;24
491;Plantation Jamaica 1992 Single Cask;12
490;Plantation Jamaica 1992 Single Cask Port;17
493;Plantation Jamaica 2000;17
494;Plantation Jamaica 2000;18
492;Plantation Jamaica 2000 Old Reserve;16
495;Plantation Martinique 2002 Single Cask;11
496;Plantation Nicaragua 2001;14
498;Plantation Panama 2002;18
497;Plantation Panama 2002 Old Reserve;18
499;Plantation Trinidad 1989 Single Cask Abel;39
500;Plantation Trinidad 1997 Single Cask;9
501;Plantation Trinidad 1998 Single Cask Porto;17
502;Plantation Trinidad 1999 Single Cask Banyuls;19
503;Plantation Trinidad 1999 Single Cask Sherry;13
504;Plantation Trinidad 1999 Single Cask Sherry;17
505;Plantation Trinidad Single Cask Marsala;18
506;Plantation XO 20th Anniversary;24
507;Plantation XO Guatemala Ice Wine Finish (Gerry's 4th Edition);16
508;Pramia Hunaja-Rommilikri;20
509;Presidente 23;4
510;Prichard's Fine Rum;0
511;Professor Cornelius Ampleforth's Rumbullion;29
611;Pujol Dorado;6
512;Puntacana Club XOX 50 Anniversary;23
513;Pusser's 15 yr;27
514;Pusser's 15 yr;29
515;Pusser's Blue 54.5%;20
516;Pusser's Blue 75%;6
517;Pusser's Blue Label (40%);6
518;Pusser's British Navy Rum (Ceramic Miniature);12
519;Pusser's Decanter John Paul Jones;43
520;Pusser's Decanter Yachting;19
521;Pusser's Gunpowder (54.5%);7
522;Pusser's Red 42%;6
523;Pusser's Super Overproof (German only);0
524;Pyrat Pistol;29
527;Pyrat XO Reserve;24
526;Pyrat XO Reserve Planters Gold;45
614;Quorhum;46
612;Quorhum 30 yr;34
613;Quorhum Solera 23;46
615;Quorum Solera 23 yr;46
530;R.L. Seales 10y;0
531;Red Leg Spiced;17
532;Reimonenq RQL;26
533;Renegade Barbados (Blackrock);0
534;Renegade Guyana (PM);3
