review_id,header,review,date,reviewer,location,rev_n_ratings,rating,brand_base_urls,name,country,category,price,n_ratings
9247,Great rum,Really good rum for the price. It is sweet without getting too sweet. Very balanced in the taste.Highly recommendable for beginners. ,2015-06-01,Rune Lind,Denmark,4,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
6426,Outstanding!,I was truly blown away with the Diplomatic Reserva Exclusiva Rum. This instantly became one of my favorites. Money well spent.,2015-01-19,El Julian,United States,20,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
6365,Exceptional taste,"What a great rum. Smell of vanilla and caramel. No harsh burn when swallowed. Drank this one straight, wouldn't think of mixing it with anything. ",2015-01-17,Dave,United States,36,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
5550,Diplomático Reserva Exclusiva,"Alkohol: 40 % Původ: Venezuela Aroma: Tradiční kůže, lesní med, dřevo a při hlubším pátrání ve sklence až plástve, lehce i propolis. (86 b) Chuť: Mísí se zde krásná uhlazenost a jemnost v tom nejlepším slova smyslu s jemnou štiplavostí, vyzrálostí dřeva a medovou sladkostí.Když budu hodně přísný, tak trochu dřevitá dochuť celkový dojem maličko ruší, ale nic významného. (88 b) Body: 87 Shrnutí: Hlavně v chuti si mě získal, hodně sympatický reprezentant Venezuely.",2014-12-08,HunterRomario,Czech Republic,220,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
3272,"God sød rom, som er god til prisen","God sød rom, som er god til prisen, duft og smag af kraramel",2014-05-09,Thomas Christiansen,Denmark,11,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2530,Nem rom at holde af.,"Rigtig lækker rom med en dejlig duft og smag, fin længde og sødme. Meget nem rom at drikke.Genkøb",2014-02-06,Thomas Jesen,Denmark,41,7,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
1467,Everybodies darling,"this rum is truly a benchmark, the quality that you get for this price is stunning.Certainly it's a sweet rum but therefore a very good one. Also very good to recommended to beginners. The only bad side is that the Botucal (name change in germany) lost some of it's quality, if that wouldn't have happened I would give the rum the full score!",2013-03-02,donmichelangelo,Germany,25,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
50952,Really Good Stuff,"This is truly a fantastic Rum. You can taste a sweetness that damp the strength of the alcohol so it doesn't burn as much as many other brands. It's sweet, fruity and less smoky than most. It's definitely recommended on its own (I think even without any ice or so). It should be relatively cheap to find and so it's a good first step in the world of fine Rums without paying too much money for it. Recommended for those that like a sweet (but not artificial) taste in their drinks.",2018-06-15,Tommaso,Italy,7,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
48198,Best Value!!,"Finally had a chance to sample this one lately and was not disappointed. I'm not good at describing the different flavor components of rums but besides the normal caramel, vanilla and oak I got a definite hit of chocolate. Yummy!!!  There is not a better rum available that I have had at this price point. Those of you who demean this rum need to go back to drinking your Budweiser.",2018-03-23,Jack Farrell,United States,9,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
45997,Like liquid candyfloss,"Incredibly sweet taste – buttery caramel, butterscotch and toffee. It's an easy and kinda sirupy sipper. A true people pleaser rum (some would say liqueur).",2018-01-25,Casper Nielsen,Denmark,8,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
45986,my favourite rum,"I find it somehow similar to El Dorado 12, sweet, tasty and full of flavor, exactly on my taste. Nice sipping rum.",2018-01-25,Mihai,Romania,6,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
45408,A very elegant subdued spiced rum,"This was formerly my highest rated rum, which also happened to be one of the ultimate sugar bombs with about 10 teaspoons of added sugar, albeit well chosen for the flavors similar to how a great chef chooses spices for stellar dishes.Since my only bottle that I took a risk on that exceeded my limit of $50 per bottle slowly rose to the ranks of a 10 rating, I had no choice except to compare the Columbian to this Venezuelan back to back. Sorry, but no contest, since Dictador XO Insolent wins hands down for having my only rating of 10. This DRE rum still ranks at the top of my very small pack of rums that I have rated as a 9, but only one rum of mine deserves a rating of 10 at his point.Update: My first bottle is now long gone, but deemed to be one of only two sugar bombs worth replacing.  The other sugar bomb is El Dorado 12. My new bottle will remain unopened for quite some time. When finally opened, I will record that date in my spreadsheet to make sure that it gets consumed within two months. Sugar bombs never last beyond 3-4 months due to oxidation in the bottle.",2018-01-13,Paul B,United States,124,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
44987,Affordable sweet rum,"I quite like this rum (or is it a liqueur?) as a sweet, easy drinker.Not too much at once, or it will tend to get sickly.I suppose it is lucky that I do as it seems to be the only sipping rum offering in many of the standard bars round my way.Sweet to the taste, perhaps a bit too sweet, but nice flavour and smooth enough.Not much of a wow-factor for me, now I'm starting to get pickier.Personally speaking, I'd rather save up for something like the Centenario 20 year for my personal stash, but very happy to quaff a couple of glasses if I'm out (& there is nothing better)",2018-01-04,anaratz,France,12,7,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
44645,Aged Amber,"As rum classification goes, terminology seems open to interpretation. For me, this and other rums (Zaya GR-12, Centenario-25, El Dorado SR-15) fall into the category of Aged Amber Rums. Within that classification, Diplomático Reserva Exclusiva is #1 or #2. I lived in Guyana for 6-months and am partial to this type of rum. I find the nose to be vanilla with a hint of toffee and possibly nutmeg. It is smooth to taste and leaves a light spiced fruit and vanilla aftertaste. Best neat or with a few drops of water.",2017-12-30,Patrick Flood,United States,1,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
